"","athlete","team","avg_pts","exp_pts","n","event_id","task"
"1","Carole Howald","Tirinzoni","3.3548","3.3983","62",250,"DRAW"
"2","Sarah Wilkes","Homan","3.6000","3.3685","55",250,"DRAW"
"3","Ye Eun Seol","Gim","3.5000","3.316","52",250,"DRAW"
"4","Linda Stenlund","Wrana","3.4375","3.3235","48",250,"DRAW"
"5","Krysten Karwacki","Einarson","3.3143","3.3013","35",250,"DRAW"
"6","Selina Rychiger","X. Schwaller","3.1176","3.4392","34",250,"DRAW"
"7","Kristin MacCuish","Lawes","3.5152","3.3807","33",250,"DRAW"
"8","Lauren Lenentine","Jones","3.0313","3.3224","32",250,"DRAW"
"9","Sofia Mabergs","Hasselborg","3.3548","3.3063","31",250,"DRAW"
"10","Alina Pätz","Tirinzoni","2.9032","2.9932","31",250,"DRAW"
"11","Eunjung KIM","Kim","3.4839","3.008","31",250,"DRAW"
"12","seonyeong kim","Kim","3.6000","3.3179","30",250,"DRAW"
"13","Selina Witschonke","Tirinzoni","3.3103","3.0686","29",250,"DRAW"
"14","Isabella Wrana","Wrana","3.1034","2.977","29",250,"DRAW"
"15","Giulia Zardini Lacedelli","Constantini","2.8519","3.2976","27",250,"DRAW"
"16","Kaitlyn Lawes","Lawes","3.1852","3.0337","27",250,"DRAW"
"17","Kerri Einarson","Einarson","3.4815","3.0482","27",250,"DRAW"
"18","Yurika Yoshida","Fujisawa","3.5000","3.3111","26",250,"DRAW"
"19","Eun Ji Gim","Gim","2.7200","2.9566","25",250,"DRAW"
"20","Maria Larsson","Wrana","3.3600","3.0923","25",250,"DRAW"
"21","Silvana Tirinzoni","Tirinzoni","3.1600","3.0188","25",250,"DRAW"
"22","Almida de Val","Wrana","3.3333","2.953","24",250,"DRAW"
"23","Anna Hasselborg","Hasselborg","3.1250","2.9966","24",250,"DRAW"
"24","Stefania Constantini","Constantini","2.1250","2.9518","24",250,"DRAW"
"25","Yumi Suzuki","Fujisawa","2.9565","3.0462","23",250,"DRAW"
"26","Elena Mathis","Constantini","2.5000","3.0209","22",250,"DRAW"
"27","Jennifer Jones","Jones","2.1429","2.9268","21",250,"DRAW"
"28","Emma Miskew","Homan","3.4286","3.1578","21",250,"DRAW"
"29","Satsuki Fujisawa","Fujisawa","2.9524","2.8391","21",250,"DRAW"
"30","Emily Zacharias","Jones","2.8000","3.0306","20",250,"DRAW"
"31","Rachel Homan","Homan","2.9000","2.9057","20",250,"DRAW"
"32","KYEONGAE KIM","Kim","3.3500","2.9911","20",250,"DRAW"
"33","Xenia Schwaller","X. Schwaller","2.6500","3.0297","20",250,"DRAW"
"34","ChoHi KIM","Kim","3.6316","3.0685","19",250,"DRAW"
"35","Val Sweeting","Einarson","3.3889","3.0046","18",250,"DRAW"
"36","Selena Njegovan","Lawes","3.2778","2.9965","18",250,"DRAW"
"37","Suji Kim","Gim","3.2941","3.0847","17",250,"DRAW"
"38","Marta Lo Deserto","Constantini","3.1765","3.0539","17",250,"DRAW"
"39","Chinami Yoshida","Fujisawa","2.1176","3.0182","17",250,"DRAW"
"40","Jocelyn Peterman","Lawes","3.3750","3.0447","16",250,"DRAW"
"41","Minji Kim","Gim","2.8667","2.9652","15",250,"DRAW"
"42","Selina Gafner","X. Schwaller","2.9333","2.9811","15",250,"DRAW"
"43","Sara McManus","Hasselborg","3.2000","2.9952","15",250,"DRAW"
"44","Karlee Burgess","Jones","2.7692","3.0082","13",250,"DRAW"
"45","Agnes Knochenhauer","Hasselborg","3.1667","3.0405","12",250,"DRAW"
"46","Shannon Birchard","Einarson","3.5455","3.0609","11",250,"DRAW"
"47","Fabienne Rieder","X. Schwaller","2.2727","3.0033","11",250,"DRAW"
"48","Angela Romei","Constantini","2.2000","3.0629","10",250,"DRAW"
"49","Tracy Fleury","Homan","3.3750","2.9486","8",250,"DRAW"
"50","Ye Ji Seol","Gim","3.5000","3.2096","2",250,"DRAW"
"51","Eun Ji Gim","Gim","2.8723","3.228","47",250,"TAKE-OUT"
"52","Alina Pätz","Tirinzoni","3.8000","3.2287","40",250,"TAKE-OUT"
"53","Anna Hasselborg","Hasselborg","3.6897","3.2424","29",250,"TAKE-OUT"
"54","Silvana Tirinzoni","Tirinzoni","3.3793","3.2494","29",250,"TAKE-OUT"
"55","Stefania Constantini","Constantini","3.0000","3.2124","24",250,"TAKE-OUT"
"56","Tracy Fleury","Homan","3.3333","3.2011","24",250,"TAKE-OUT"
"57","Minji Kim","Gim","3.5652","3.2404","23",250,"TAKE-OUT"
"58","Xenia Schwaller","X. Schwaller","3.0870","3.1866","23",250,"TAKE-OUT"
"59","Kaitlyn Lawes","Lawes","3.4091","3.2347","22",250,"TAKE-OUT"
"60","Selina Witschonke","Tirinzoni","3.4091","3.21","22",250,"TAKE-OUT"
"61","Isabella Wrana","Wrana","3.4091","3.1712","22",250,"TAKE-OUT"
"62","Selena Njegovan","Lawes","3.1429","3.2363","21",250,"TAKE-OUT"
"63","Val Sweeting","Einarson","3.6190","3.3155","21",250,"TAKE-OUT"
"64","Almida de Val","Wrana","3.2857","3.2096","21",250,"TAKE-OUT"
"65","Shannon Birchard","Einarson","3.1500","3.1313","20",250,"TAKE-OUT"
"66","KYEONGAE KIM","Kim","3.3000","3.3114","20",250,"TAKE-OUT"
"67","Kerri Einarson","Einarson","3.0000","3.267","19",250,"TAKE-OUT"
"68","Elena Mathis","Constantini","3.3889","3.1797","18",250,"TAKE-OUT"
"69","Satsuki Fujisawa","Fujisawa","3.5000","3.2246","18",250,"TAKE-OUT"
"70","Sara McManus","Hasselborg","3.4706","3.2365","17",250,"TAKE-OUT"
"71","Jennifer Jones","Jones","3.0000","3.1603","17",250,"TAKE-OUT"
"72","Rachel Homan","Homan","3.4375","3.1526","16",250,"TAKE-OUT"
"73","Karlee Burgess","Jones","2.6875","3.1574","16",250,"TAKE-OUT"
"74","Eunjung KIM","Kim","3.1875","3.3317","16",250,"TAKE-OUT"
"75","ChoHi KIM","Kim","3.2000","3.2422","15",250,"TAKE-OUT"
"76","Selina Gafner","X. Schwaller","3.2308","3.2278","13",250,"TAKE-OUT"
"77","Chinami Yoshida","Fujisawa","3.4167","3.1889","12",250,"TAKE-OUT"
"78","Fabienne Rieder","X. Schwaller","2.9167","3.2141","12",250,"TAKE-OUT"
"79","Maria Larsson","Wrana","3.0909","3.2279","11",250,"TAKE-OUT"
"80","Emma Miskew","Homan","3.4000","3.0459","10",250,"TAKE-OUT"
"81","Emily Zacharias","Jones","3.0000","3.1294","10",250,"TAKE-OUT"
"82","Jocelyn Peterman","Lawes","3.3333","3.2259","9",250,"TAKE-OUT"
"83","Carole Howald","Tirinzoni","3.8889","3.3547","9",250,"TAKE-OUT"
"84","seonyeong kim","Kim","3.6250","3.3591","8",250,"TAKE-OUT"
"85","Kristin MacCuish","Lawes","2.8750","3.1132","8",250,"TAKE-OUT"
"86","Suji Kim","Gim","2.5714","3.2056","7",250,"TAKE-OUT"
"87","Selina Rychiger","X. Schwaller","3.6667","3.3394","6",250,"TAKE-OUT"
"88","Ye Ji Seol","Gim","3.4000","3.2969","5",250,"TAKE-OUT"
"89","Krysten Karwacki","Einarson","2.0000","3.2788","5",250,"TAKE-OUT"
"90","Ye Eun Seol","Gim","3.2000","3.2967","5",250,"TAKE-OUT"
"91","Agnes Knochenhauer","Hasselborg","3.0000","3.1508","5",250,"TAKE-OUT"
"92","Yurika Yoshida","Fujisawa","4.0000","3.5429","4",250,"TAKE-OUT"
"93","Lauren Lenentine","Jones","3.2500","3.3079","4",250,"TAKE-OUT"
"94","Sofia Mabergs","Hasselborg","3.3333","3.4037","3",250,"TAKE-OUT"
"95","Giulia Zardini Lacedelli","Constantini","3.5000","3.4322","2",250,"TAKE-OUT"
"96","Yumi Suzuki","Fujisawa","2.0000","3.3774","2",250,"TAKE-OUT"
"97","Marta Lo Deserto","Constantini","1.5000","3.2228","2",250,"TAKE-OUT"
"98","Angela Romei","Constantini","4.0000","3.2826","1",250,"TAKE-OUT"
"99","Linda Stenlund","Wrana","3.0000","3.1761","1",250,"TAKE-OUT"
"100","Sofia Mabergs","Hasselborg","3.7500","3.657","44",250,"FRONT"
"101","Yurika Yoshida","Fujisawa","3.6136","3.6605","44",250,"FRONT"
"102","Linda Stenlund","Wrana","3.7381","3.6609","42",250,"FRONT"
"103","seonyeong kim","Kim","3.8049","3.6819","41",250,"FRONT"
"104","Giulia Zardini Lacedelli","Constantini","3.3846","3.6485","39",250,"FRONT"
"105","Ye Eun Seol","Gim","3.7105","3.6728","38",250,"FRONT"
"106","Krysten Karwacki","Einarson","3.7879","3.6762","33",250,"FRONT"
"107","Carole Howald","Tirinzoni","3.7188","3.672","32",250,"FRONT"
"108","Lauren Lenentine","Jones","3.6452","3.6738","31",250,"FRONT"
"109","Kristin MacCuish","Lawes","3.9200","3.6627","25",250,"FRONT"
"110","Selina Rychiger","X. Schwaller","3.4800","3.6685","25",250,"FRONT"
"111","Sarah Wilkes","Homan","3.8261","3.6536","23",250,"FRONT"
"112","Maria Larsson","Wrana","3.8000","3.573","5",250,"FRONT"
"113","Chinami Yoshida","Fujisawa","3.7500","3.6943","4",250,"FRONT"
"114","Agnes Knochenhauer","Hasselborg","2.7500","3.5712","4",250,"FRONT"
"115","Fabienne Rieder","X. Schwaller","3.6667","3.5275","3",250,"FRONT"
"116","Almida de Val","Wrana","3.6667","3.6018","3",250,"FRONT"
"117","ChoHi KIM","Kim","4.0000","3.5513","3",250,"FRONT"
"118","Jocelyn Peterman","Lawes","4.0000","3.5657","3",250,"FRONT"
"119","Yumi Suzuki","Fujisawa","3.6667","3.628","3",250,"FRONT"
"120","Minji Kim","Gim","4.0000","3.6695","3",250,"FRONT"
"121","Elena Mathis","Constantini","3.6667","3.6648","3",250,"FRONT"
"122","Isabella Wrana","Wrana","4.0000","3.3147","2",250,"FRONT"
"123","Marta Lo Deserto","Constantini","4.0000","3.6038","2",250,"FRONT"
"124","Sara McManus","Hasselborg","4.0000","3.63","2",250,"FRONT"
"125","Shannon Birchard","Einarson","4.0000","3.6618","2",250,"FRONT"
"126","Angela Romei","Constantini","4.0000","3.6606","1",250,"FRONT"
"127","Stefania Constantini","Constantini","4.0000","3.7287","1",250,"FRONT"
"128","Suji Kim","Gim","4.0000","3.6455","1",250,"FRONT"
"129","Selina Witschonke","Tirinzoni","3.0000","3.5754","1",250,"FRONT"
"130","Anna Hasselborg","Hasselborg","4.0000","3.4235","1",250,"FRONT"
"131","Tracy Fleury","Homan","3.0000","3.3789","1",250,"FRONT"
"132","Rachel Homan","Homan","4.0000","3.4009","1",250,"FRONT"
"133","Selina Gafner","X. Schwaller","4.0000","3.405","1",250,"FRONT"
"134","Silvana Tirinzoni","Tirinzoni","3.2632","3.0762","38",250,"HIT-ROLL"
"135","Alina Pätz","Tirinzoni","3.1563","2.9873","32",250,"HIT-ROLL"
"136","Maria Larsson","Wrana","2.9259","3.0476","27",250,"HIT-ROLL"
"137","Minji Kim","Gim","2.8696","3.0239","23",250,"HIT-ROLL"
"138","Almida de Val","Wrana","2.9091","3.0667","22",250,"HIT-ROLL"
"139","ChoHi KIM","Kim","2.9048","3.0336","21",250,"HIT-ROLL"
"140","Xenia Schwaller","X. Schwaller","3.2381","2.9824","21",250,"HIT-ROLL"
"141","Eunjung KIM","Kim","2.5714","2.9308","21",250,"HIT-ROLL"
"142","Isabella Wrana","Wrana","2.7000","2.9145","20",250,"HIT-ROLL"
"143","KYEONGAE KIM","Kim","2.9500","3.0439","20",250,"HIT-ROLL"
"144","Selina Witschonke","Tirinzoni","3.1667","3.0567","18",250,"HIT-ROLL"
"145","Selina Gafner","X. Schwaller","2.7222","3.0667","18",250,"HIT-ROLL"
"146","Eun Ji Gim","Gim","2.2353","2.9341","17",250,"HIT-ROLL"
"147","Karlee Burgess","Jones","2.9412","3.0637","17",250,"HIT-ROLL"
"148","Sara McManus","Hasselborg","3.4706","3.0697","17",250,"HIT-ROLL"
"149","Chinami Yoshida","Fujisawa","3.4375","3.0778","16",250,"HIT-ROLL"
"150","Fabienne Rieder","X. Schwaller","2.9375","3.0522","16",250,"HIT-ROLL"
"151","Rachel Homan","Homan","3.1333","3.0291","15",250,"HIT-ROLL"
"152","Jennifer Jones","Jones","2.6667","2.964","15",250,"HIT-ROLL"
"153","Tracy Fleury","Homan","3.2143","3.0449","14",250,"HIT-ROLL"
"154","Suji Kim","Gim","3.4615","3.0359","13",250,"HIT-ROLL"
"155","Selena Njegovan","Lawes","2.6923","3.0914","13",250,"HIT-ROLL"
"156","Anna Hasselborg","Hasselborg","2.8462","3.0197","13",250,"HIT-ROLL"
"157","Satsuki Fujisawa","Fujisawa","2.6923","2.929","13",250,"HIT-ROLL"
"158","Kerri Einarson","Einarson","2.9231","2.9744","13",250,"HIT-ROLL"
"159","Val Sweeting","Einarson","3.0000","3.0743","13",250,"HIT-ROLL"
"160","Kaitlyn Lawes","Lawes","2.7500","2.9967","12",250,"HIT-ROLL"
"161","Agnes Knochenhauer","Hasselborg","2.9167","3.0464","12",250,"HIT-ROLL"
"162","Shannon Birchard","Einarson","2.9000","3.0366","10",250,"HIT-ROLL"
"163","Emma Miskew","Homan","2.7000","3.0805","10",250,"HIT-ROLL"
"164","Elena Mathis","Constantini","3.0000","3.0863","8",250,"HIT-ROLL"
"165","Emily Zacharias","Jones","2.7500","2.9974","8",250,"HIT-ROLL"
"166","Linda Stenlund","Wrana","2.6250","3.2179","8",250,"HIT-ROLL"
"167","Marta Lo Deserto","Constantini","3.0000","3.022","7",250,"HIT-ROLL"
"168","Jocelyn Peterman","Lawes","3.3333","3.028","6",250,"HIT-ROLL"
"169","Yumi Suzuki","Fujisawa","3.5000","3.0936","6",250,"HIT-ROLL"
"170","Stefania Constantini","Constantini","3.5000","2.9775","4",250,"HIT-ROLL"
"171","Carole Howald","Tirinzoni","3.3333","3.2185","3",250,"HIT-ROLL"
"172","Ye Eun Seol","Gim","2.6667","3.1424","3",250,"HIT-ROLL"
"173","Lauren Lenentine","Jones","2.3333","3.2138","3",250,"HIT-ROLL"
"174","Angela Romei","Constantini","3.0000","3.0997","3",250,"HIT-ROLL"
"175","Kristin MacCuish","Lawes","2.0000","3.0808","2",250,"HIT-ROLL"
"176","seonyeong kim","Kim","2.0000","3.2751","2",250,"HIT-ROLL"
"177","Giulia Zardini Lacedelli","Constantini","4.0000","3.2676","1",250,"HIT-ROLL"
"178","Yurika Yoshida","Fujisawa","4.0000","3.2776","1",250,"HIT-ROLL"
"179","Krysten Karwacki","Einarson","4.0000","3.1024","1",250,"HIT-ROLL"
"180","Ye Ji Seol","Gim","4.0000","3.0349","1",250,"HIT-ROLL"
"181","Selina Rychiger","X. Schwaller","4.0000","2.9544","1",250,"HIT-ROLL"
"182","Agnes Knochenhauer","Hasselborg","3.8235","3.5156","17",250,"GUARD"
"183","Sara McManus","Hasselborg","3.7647","3.5578","17",250,"GUARD"
"184","Suji Kim","Gim","3.5714","3.5169","14",250,"GUARD"
"185","Emily Zacharias","Jones","3.7500","3.5324","12",250,"GUARD"
"186","Selina Gafner","X. Schwaller","3.3636","3.4927","11",250,"GUARD"
"187","Jocelyn Peterman","Lawes","3.3636","3.5036","11",250,"GUARD"
"188","KYEONGAE KIM","Kim","3.9091","3.561","11",250,"GUARD"
"189","Yumi Suzuki","Fujisawa","3.8182","3.5219","11",250,"GUARD"
"190","Silvana Tirinzoni","Tirinzoni","3.5000","3.5759","10",250,"GUARD"
"191","ChoHi KIM","Kim","3.7000","3.5408","10",250,"GUARD"
"192","Almida de Val","Wrana","3.8000","3.5553","10",250,"GUARD"
"193","Karlee Burgess","Jones","3.7778","3.5599","9",250,"GUARD"
"194","Fabienne Rieder","X. Schwaller","3.3333","3.4774","9",250,"GUARD"
"195","Selena Njegovan","Lawes","3.2222","3.5371","9",250,"GUARD"
"196","Eunjung KIM","Kim","3.6667","3.5097","9",250,"GUARD"
"197","Chinami Yoshida","Fujisawa","3.3333","3.5708","9",250,"GUARD"
"198","Shannon Birchard","Einarson","3.3333","3.4899","9",250,"GUARD"
"199","Selina Witschonke","Tirinzoni","3.6250","3.502","8",250,"GUARD"
"200","Val Sweeting","Einarson","3.8750","3.5793","8",250,"GUARD"
"201","Minji Kim","Gim","3.6250","3.5586","8",250,"GUARD"
"202","Anna Hasselborg","Hasselborg","3.7500","3.524","8",250,"GUARD"
"203","Satsuki Fujisawa","Fujisawa","3.8571","3.4345","7",250,"GUARD"
"204","Maria Larsson","Wrana","3.7143","3.4773","7",250,"GUARD"
"205","Kristin MacCuish","Lawes","3.2857","3.4906","7",250,"GUARD"
"206","Selina Rychiger","X. Schwaller","3.6667","3.4412","6",250,"GUARD"
"207","Elena Mathis","Constantini","3.6667","3.534","6",250,"GUARD"
"208","Isabella Wrana","Wrana","3.8333","3.4035","6",250,"GUARD"
"209","Rachel Homan","Homan","3.4000","3.4124","5",250,"GUARD"
"210","Tracy Fleury","Homan","3.5000","3.4781","4",250,"GUARD"
"211","Krysten Karwacki","Einarson","4.0000","3.4525","4",250,"GUARD"
"212","Kerri Einarson","Einarson","3.7500","3.4784","4",250,"GUARD"
"213","Carole Howald","Tirinzoni","3.5000","3.4575","4",250,"GUARD"
"214","Stefania Constantini","Constantini","3.0000","3.4693","4",250,"GUARD"
"215","Ye Eun Seol","Gim","4.0000","3.4714","3",250,"GUARD"
"216","seonyeong kim","Kim","4.0000","3.4382","3",250,"GUARD"
"217","Jennifer Jones","Jones","3.0000","3.5069","3",250,"GUARD"
"218","Sofia Mabergs","Hasselborg","4.0000","3.4743","3",250,"GUARD"
"219","Sarah Wilkes","Homan","4.0000","3.488","3",250,"GUARD"
"220","Giulia Zardini Lacedelli","Constantini","4.0000","3.5243","2",250,"GUARD"
"221","Angela Romei","Constantini","4.0000","3.5724","2",250,"GUARD"
"222","Kaitlyn Lawes","Lawes","3.5000","3.4194","2",250,"GUARD"
"223","Lauren Lenentine","Jones","3.5000","3.446","2",250,"GUARD"
"224","Emma Miskew","Homan","4.0000","3.5168","2",250,"GUARD"
"225","Yurika Yoshida","Fujisawa","4.0000","3.4817","2",250,"GUARD"
"226","Xenia Schwaller","X. Schwaller","4.0000","3.4221","1",250,"GUARD"
"227","Alina Pätz","Tirinzoni","4.0000","3.3828","1",250,"GUARD"
"228","Linda Stenlund","Wrana","3.0000","3.5013","1",250,"GUARD"
"229","Marta Lo Deserto","Constantini","4.0000","3.3566","1",250,"GUARD"
"230","Eun Ji Gim","Gim","4.0000","3.4617","1",250,"GUARD"
"231","Suji Kim","Gim","3.6538","3.6214","26",250,"CLEARING"
"232","Emma Miskew","Homan","3.5217","3.6244","23",250,"CLEARING"
"233","Jocelyn Peterman","Lawes","3.6667","3.6003","21",250,"CLEARING"
"234","Selina Witschonke","Tirinzoni","3.7368","3.6153","19",250,"CLEARING"
"235","Tracy Fleury","Homan","3.6111","3.6589","18",250,"CLEARING"
"236","Fabienne Rieder","X. Schwaller","3.7500","3.6118","16",250,"CLEARING"
"237","Agnes Knochenhauer","Hasselborg","3.4667","3.5613","15",250,"CLEARING"
"238","Minji Kim","Gim","3.6000","3.7074","15",250,"CLEARING"
"239","Yumi Suzuki","Fujisawa","3.3333","3.59","15",250,"CLEARING"
"240","Almida de Val","Wrana","3.7692","3.6854","13",250,"CLEARING"
"241","Silvana Tirinzoni","Tirinzoni","3.9231","3.6567","13",250,"CLEARING"
"242","Maria Larsson","Wrana","3.5833","3.6264","12",250,"CLEARING"
"243","Angela Romei","Constantini","3.4545","3.615","11",250,"CLEARING"
"244","ChoHi KIM","Kim","3.0000","3.5748","11",250,"CLEARING"
"245","Shannon Birchard","Einarson","3.8182","3.6238","11",250,"CLEARING"
"246","Emily Zacharias","Jones","3.3636","3.5931","11",250,"CLEARING"
"247","Sara McManus","Hasselborg","3.7273","3.67","11",250,"CLEARING"
"248","Selena Njegovan","Lawes","3.6000","3.6647","10",250,"CLEARING"
"249","Alina Pätz","Tirinzoni","4.0000","3.7043","6",250,"CLEARING"
"250","Rachel Homan","Homan","4.0000","3.7247","6",250,"CLEARING"
"251","Val Sweeting","Einarson","3.8000","3.6822","5",250,"CLEARING"
"252","Karlee Burgess","Jones","3.4000","3.6395","5",250,"CLEARING"
"253","Selina Gafner","X. Schwaller","3.5000","3.6627","4",250,"CLEARING"
"254","Ye Ji Seol","Gim","3.5000","3.609","4",250,"CLEARING"
"255","Kaitlyn Lawes","Lawes","4.0000","3.7392","4",250,"CLEARING"
"256","Elena Mathis","Constantini","4.0000","3.6272","4",250,"CLEARING"
"257","Isabella Wrana","Wrana","3.0000","3.7513","3",250,"CLEARING"
"258","Xenia Schwaller","X. Schwaller","4.0000","3.7642","3",250,"CLEARING"
"259","Chinami Yoshida","Fujisawa","4.0000","3.5907","3",250,"CLEARING"
"260","Satsuki Fujisawa","Fujisawa","4.0000","3.6914","3",250,"CLEARING"
"261","Eun Ji Gim","Gim","4.0000","3.7351","3",250,"CLEARING"
"262","KYEONGAE KIM","Kim","4.0000","3.6226","2",250,"CLEARING"
"263","Kerri Einarson","Einarson","4.0000","3.6523","2",250,"CLEARING"
"264","Stefania Constantini","Constantini","4.0000","3.7606","2",250,"CLEARING"
"265","Jennifer Jones","Jones","4.0000","3.7295","2",250,"CLEARING"
"266","Eunjung KIM","Kim","4.0000","3.8035","2",250,"CLEARING"
"267","Anna Hasselborg","Hasselborg","4.0000","3.7242","1",250,"CLEARING"
"268","Marta Lo Deserto","Constantini","4.0000","3.5879","1",250,"CLEARING"
"269","Minji Kim","Gim","2.8750","2.9114","16",250,"DOUBLE"
"270","Tracy Fleury","Homan","3.5000","2.9016","12",250,"DOUBLE"
"271","Rachel Homan","Homan","2.9091","2.59","11",250,"DOUBLE"
"272","Emma Miskew","Homan","3.1000","2.984","10",250,"DOUBLE"
"273","Chinami Yoshida","Fujisawa","2.9000","2.9099","10",250,"DOUBLE"
"274","Suji Kim","Gim","2.8000","2.9653","10",250,"DOUBLE"
"275","Jennifer Jones","Jones","1.8000","2.3654","10",250,"DOUBLE"
"276","Shannon Birchard","Einarson","3.0000","2.9605","10",250,"DOUBLE"
"277","Maria Larsson","Wrana","3.6667","2.9724","9",250,"DOUBLE"
"278","Agnes Knochenhauer","Hasselborg","3.1111","2.9743","9",250,"DOUBLE"
"279","Isabella Wrana","Wrana","3.0000","2.7241","8",250,"DOUBLE"
"280","Eun Ji Gim","Gim","2.6250","2.596","8",250,"DOUBLE"
"281","Fabienne Rieder","X. Schwaller","3.1429","2.9917","7",250,"DOUBLE"
"282","Val Sweeting","Einarson","3.5714","2.8724","7",250,"DOUBLE"
"283","Jocelyn Peterman","Lawes","3.1429","2.9775","7",250,"DOUBLE"
"284","ChoHi KIM","Kim","3.2857","2.9772","7",250,"DOUBLE"
"285","Karlee Burgess","Jones","1.8571","2.9083","7",250,"DOUBLE"
"286","Selina Witschonke","Tirinzoni","2.6667","2.946","6",250,"DOUBLE"
"287","Selina Gafner","X. Schwaller","3.6667","2.8872","6",250,"DOUBLE"
"288","Almida de Val","Wrana","3.1667","2.9133","6",250,"DOUBLE"
"289","Yumi Suzuki","Fujisawa","3.1667","2.9506","6",250,"DOUBLE"
"290","Elena Mathis","Constantini","3.1667","2.9171","6",250,"DOUBLE"
"291","Sara McManus","Hasselborg","3.8333","2.8862","6",250,"DOUBLE"
"292","Stefania Constantini","Constantini","2.6667","2.5727","6",250,"DOUBLE"
"293","Marta Lo Deserto","Constantini","2.8000","2.9934","5",250,"DOUBLE"
"294","Emily Zacharias","Jones","2.2000","2.9435","5",250,"DOUBLE"
"295","Silvana Tirinzoni","Tirinzoni","1.8000","2.9436","5",250,"DOUBLE"
"296","Anna Hasselborg","Hasselborg","3.0000","2.7143","4",250,"DOUBLE"
"297","Kaitlyn Lawes","Lawes","0.7500","2.6429","4",250,"DOUBLE"
"298","KYEONGAE KIM","Kim","3.5000","2.9083","4",250,"DOUBLE"
"299","Selena Njegovan","Lawes","3.7500","2.9011","4",250,"DOUBLE"
"300","Eunjung KIM","Kim","0.3333","2.5597","3",250,"DOUBLE"
"301","Alina Pätz","Tirinzoni","2.6667","2.6835","3",250,"DOUBLE"
"302","Satsuki Fujisawa","Fujisawa","1.6667","2.5455","3",250,"DOUBLE"
"303","Ye Ji Seol","Gim","2.6667","2.9483","3",250,"DOUBLE"
"304","Sarah Wilkes","Homan","3.0000","3.1246","2",250,"DOUBLE"
"305","Xenia Schwaller","X. Schwaller","4.0000","2.6691","2",250,"DOUBLE"
"306","Ye Eun Seol","Gim","1.5000","3.1489","2",250,"DOUBLE"
"307","Kerri Einarson","Einarson","2.5000","2.7329","2",250,"DOUBLE"
"308","Angela Romei","Constantini","4.0000","2.9446","1",250,"DOUBLE"
"309","Linda Stenlund","Wrana","4.0000","3.5057","1",250,"DOUBLE"
"310","Carole Howald","Tirinzoni","4.0000","3.1489","1",250,"DOUBLE"
"311","Giulia Zardini Lacedelli","Constantini","1.0000","3.0038","1",250,"DOUBLE"
"312","Selina Witschonke","Tirinzoni","2.6875","2.8712","16",250,"RAISE"
"313","KYEONGAE KIM","Kim","3.8333","2.8868","12",250,"RAISE"
"314","Satsuki Fujisawa","Fujisawa","2.5000","2.6097","10",250,"RAISE"
"315","Agnes Knochenhauer","Hasselborg","3.2000","2.884","10",250,"RAISE"
"316","Yumi Suzuki","Fujisawa","2.8750","2.8645","8",250,"RAISE"
"317","Chinami Yoshida","Fujisawa","3.7500","2.8779","8",250,"RAISE"
"318","Anna Hasselborg","Hasselborg","3.0000","2.8084","8",250,"RAISE"
"319","Isabella Wrana","Wrana","2.6250","2.7711","8",250,"RAISE"
"320","Alina Pätz","Tirinzoni","3.7500","2.8209","8",250,"RAISE"
"321","Kerri Einarson","Einarson","2.2500","2.7253","8",250,"RAISE"
"322","Rachel Homan","Homan","3.0000","2.5171","7",250,"RAISE"
"323","Emily Zacharias","Jones","2.8571","2.9233","7",250,"RAISE"
"324","Elena Mathis","Constantini","4.0000","2.8699","7",250,"RAISE"
"325","Val Sweeting","Einarson","3.5714","2.8053","7",250,"RAISE"
"326","Selina Gafner","X. Schwaller","3.4286","2.8282","7",250,"RAISE"
"327","Stefania Constantini","Constantini","2.2857","2.5107","7",250,"RAISE"
"328","Eun Ji Gim","Gim","1.8333","2.6284","6",250,"RAISE"
"329","Eunjung KIM","Kim","2.3333","2.727","6",250,"RAISE"
"330","Emma Miskew","Homan","3.3333","2.8797","6",250,"RAISE"
"331","Almida de Val","Wrana","4.0000","2.9116","6",250,"RAISE"
"332","Carole Howald","Tirinzoni","3.2000","2.967","5",250,"RAISE"
"333","Selena Njegovan","Lawes","3.6000","2.9657","5",250,"RAISE"
"334","Karlee Burgess","Jones","3.8000","2.8417","5",250,"RAISE"
"335","Xenia Schwaller","X. Schwaller","1.8000","2.7383","5",250,"RAISE"
"336","Kaitlyn Lawes","Lawes","1.5000","2.6805","4",250,"RAISE"
"337","Sofia Mabergs","Hasselborg","1.5000","2.7984","4",250,"RAISE"
"338","Maria Larsson","Wrana","3.7500","2.9035","4",250,"RAISE"
"339","ChoHi KIM","Kim","3.2500","2.9551","4",250,"RAISE"
"340","Tracy Fleury","Homan","3.7500","2.8644","4",250,"RAISE"
"341","Marta Lo Deserto","Constantini","2.7500","2.8512","4",250,"RAISE"
"342","Selina Rychiger","X. Schwaller","3.7500","2.9865","4",250,"RAISE"
"343","Jocelyn Peterman","Lawes","2.0000","2.9159","4",250,"RAISE"
"344","Fabienne Rieder","X. Schwaller","2.6667","2.917","3",250,"RAISE"
"345","Minji Kim","Gim","3.6667","2.8788","3",250,"RAISE"
"346","Suji Kim","Gim","4.0000","2.8469","3",250,"RAISE"
"347","Silvana Tirinzoni","Tirinzoni","3.5000","2.8978","2",250,"RAISE"
