"","ends_left","hammer","margin","win_probability","gender","team1","team2","ticks_allowed"
"653","9","0","4","90.9","men","101-500","101-500",NA
"654","9","0","5","95.7","men","101-500","101-500",NA
"655","9","0","6","99.2","men","101-500","101-500",NA
"656","9","1","-6","0.8","men","101-500","101-500",NA
"657","9","1","-5","4.3","men","101-500","101-500",NA
"658","9","1","-4","9.1","men","101-500","101-500",NA
"659","9","1","-3","17.2","men","101-500","101-500",NA
"660","9","1","-2","28.7","men","101-500","101-500",NA
"661","9","1","-1","43.2","men","101-500","101-500",NA
"662","9","1","0","57.6","men","101-500","101-500",NA
"663","10","0","0","43.2","men","101-500","101-500",NA
"664","10","1","0","56.8","men","101-500","101-500",NA
