"","year","event","event_id","game_id","start_time","round","draw","sheet","team1","team2","team1_score","team2_score","lsfe_team","ee"
"41","2024","World Championships",251,"279","2024-04-06 10:00:00",NA,"Qualification","D","GER (Muskatewitz)","ITA (Retornaz)","3","8","GER (Muskatewitz)","0"
"42","2024","World Championships",251,"280","2024-04-05 19:00:00",NA,"Draw 20","A","ITA (Retornaz)","NOR (Ramsfjell)","8","2","ITA (Retornaz)","0"
"43","2024","World Championships",251,"281","2024-04-05 19:00:00",NA,"Draw 20","B","NED (Goesgens)","NZL (Hood)","7","5","NED (Goesgens)","0"
"44","2024","World Championships",251,"294","2024-04-05 19:00:00",NA,"Draw 20","C","CAN (Gushue)","SUI (Schwaller)","8","1","CAN (Gushue)","0"
"45","2024","World Championships",251,"295","2024-04-05 19:00:00",NA,"Draw 20","D","SCO (Mouat)","SWE (Edin)","8","6","SWE (Edin)","0"
"46","2024","World Championships",251,"296","2024-04-05 14:00:00",NA,"Draw 19","A","GER (Muskatewitz)","SUI (Schwaller)","7","6","GER (Muskatewitz)","0"
"47","2024","World Championships",251,"297","2024-04-05 14:00:00",NA,"Draw 19","B","CAN (Gushue)","JPN (Abe)","9","3","JPN (Abe)","0"
"48","2024","World Championships",251,"298","2024-04-05 14:00:00",NA,"Draw 19","C","KOR (Park)","SWE (Edin)","4","7","SWE (Edin)","0"
"49","2024","World Championships",251,"299","2024-04-05 14:00:00",NA,"Draw 19","D","CZE (Klima)","USA (Shuster)","3","6","USA (Shuster)","0"
"50","2024","World Championships",251,"300","2024-04-05 09:00:00",NA,"Draw 18","A","NZL (Hood)","USA (Shuster)","4","10","USA (Shuster)","0"
"51","2024","World Championships",251,"301","2024-04-05 09:00:00",NA,"Draw 18","B","GER (Muskatewitz)","ITA (Retornaz)","8","7","ITA (Retornaz)","1"
"52","2024","World Championships",251,"302","2024-04-05 09:00:00",NA,"Draw 18","C","NOR (Ramsfjell)","SCO (Mouat)","8","9","SCO (Mouat)","1"
"53","2024","World Championships",251,"303","2024-04-05 09:00:00",NA,"Draw 18","D","JPN (Abe)","NED (Goesgens)","5","7","JPN (Abe)","0"
"54","2024","World Championships",251,"304","2024-04-04 19:00:00",NA,"Draw 17","A","CAN (Gushue)","SWE (Edin)","5","6","SWE (Edin)","0"
"55","2024","World Championships",251,"305","2024-04-04 19:00:00",NA,"Draw 17","B","SCO (Mouat)","SUI (Schwaller)","8","7","SCO (Mouat)","1"
"56","2024","World Championships",251,"306","2024-04-04 19:00:00",NA,"Draw 17","C","CZE (Klima)","NED (Goesgens)","5","8","CZE (Klima)","0"
"57","2024","World Championships",251,"307","2024-04-04 19:00:00",NA,"Draw 17","D","KOR (Park)","NZL (Hood)","5","2","KOR (Park)","0"
"58","2024","World Championships",251,"308","2024-04-04 14:00:00",NA,"Draw 16","A","JPN (Abe)","KOR (Park)","10","11","KOR (Park)","1"
"59","2024","World Championships",251,"309","2024-04-04 14:00:00",NA,"Draw 16","B","CZE (Klima)","NOR (Ramsfjell)","10","8","CZE (Klima)","0"
"60","2024","World Championships",251,"310","2024-04-04 14:00:00",NA,"Draw 16","C","GER (Muskatewitz)","USA (Shuster)","2","10","GER (Muskatewitz)","0"
"61","2024","World Championships",251,"311","2024-04-04 14:00:00",NA,"Draw 16","D","ITA (Retornaz)","SUI (Schwaller)","6","5","ITA (Retornaz)","0"
"62","2024","World Championships",251,"312","2024-04-04 09:00:00",NA,"Draw 15","A","NED (Goesgens)","SCO (Mouat)","3","5","NED (Goesgens)","0"
"63","2024","World Championships",251,"313","2024-04-04 09:00:00",NA,"Draw 15","B","SWE (Edin)","USA (Shuster)","6","4","USA (Shuster)","0"
"64","2024","World Championships",251,"314","2024-04-04 09:00:00",NA,"Draw 15","C","ITA (Retornaz)","NZL (Hood)","10","4","NZL (Hood)","0"
"65","2024","World Championships",251,"315","2024-04-04 09:00:00",NA,"Draw 15","D","CAN (Gushue)","NOR (Ramsfjell)","7","4","CAN (Gushue)","0"
"66","2024","World Championships",251,"316","2024-04-03 19:00:00",NA,"Draw 14","A","CZE (Klima)","SUI (Schwaller)","4","7","SUI (Schwaller)","0"
"67","2024","World Championships",251,"317","2024-04-03 19:00:00",NA,"Draw 14","B","CAN (Gushue)","KOR (Park)","7","4","CAN (Gushue)","0"
"68","2024","World Championships",251,"318","2024-04-03 19:00:00",NA,"Draw 14","C","JPN (Abe)","SCO (Mouat)","5","7","JPN (Abe)","0"
