"","athlete","team","avg_pts","exp_pts","n","event_id","task"
"30782","Scott Chadwick","Balsdon","3.2308","3.2066","13",141,"FREEZE"
"30783","Connor Njegovan","Gunnlaugson","3.6923","3.2356","13",141,"FREEZE"
"30784","Brandon Klassen","Thomas","3.5385","3.1232","13",141,"FREEZE"
"30785","Charley Thomas","Thomas","3.2500","3.0342","12",141,"FREEZE"
"30786","Philip Crowell","Murphy","3.7500","3.1482","12",141,"FREEZE"
"30787","Adam Spencer","Howard","2.5833","3.0212","12",141,"FREEZE"
"30788","Glenn Howard","Howard","3.1667","3.0397","12",141,"FREEZE"
"30789","Jamie Murphy","Murphy","3.3333","2.995","12",141,"FREEZE"
"30790","Scott Saccary","Murphy","2.6667","3.0621","12",141,"FREEZE"
"30791","Brendan Bottcher","Bottcher","3.1818","2.991","11",141,"FREEZE"
"30792","Pat Simmons","Simmons","2.8182","2.9743","11",141,"FREEZE"
"30793","Catlin Schneider","Morris","3.5000","3.1182","11",141,"FREEZE"
"30794","Darren Moulding","Bottcher","3.0909","3.0324","11",141,"FREEZE"
"30795","Tyler Morgan","Bice","3.5455","3.1616","11",141,"FREEZE"
"30796","David Mathers","Howard","3.4000","3.1654","10",141,"FREEZE"
"30797","Daniel Marsh","Flasch","3.8000","3.116","10",141,"FREEZE"
"30798","Kevin Flewwelling","Deruelle","3.0000","3.001","9",141,"FREEZE"
"30799","Scott Howard","Howard","3.5556","3.2066","9",141,"FREEZE"
"30800","Jonathan Beuk","Balsdon","3.2222","3.1524","9",141,"FREEZE"
"30801","John Morris","Morris","3.5556","2.9903","9",141,"FREEZE"
"30802","Steve Bice","Bice","3.1111","3.1623","9",141,"FREEZE"
"30803","Jason Gunnlaugson","Gunnlaugson","3.5556","3.0197","9",141,"FREEZE"
"30804","Alex Forrest","Gunnlaugson","3.6667","3.0828","9",141,"FREEZE"
"30805","Colton Flasch","Flasch","3.0000","2.9847","9",141,"FREEZE"
"30806","Jared Kolomaya","Lyburn","2.4444","3.1105","9",141,"FREEZE"
"30807","Nathan Connelly","Thomas","3.6250","3.0508","8",141,"FREEZE"
"30808","Jim Cotter","Morris","3.7500","3.0181","8",141,"FREEZE"
"30809","Dayna Deruelle","Deruelle","3.0000","2.9576","7",141,"FREEZE"
"30810","Greg Balsdon","Balsdon","2.8571","3.0867","7",141,"FREEZE"
"30811","William Lyburn","Lyburn","2.1429","2.9075","7",141,"FREEZE"
"30812","Ty Griffith","Morris","3.4286","3.1992","7",141,"FREEZE"
"30813","Richard Daneault","Lyburn","3.1429","3.0201","7",141,"FREEZE"
