"","athlete","team","avg_pts","exp_pts","n","event_id","task"
"1","Hammy McMillan","Mouat","3.4615","3.3315","13",257,"DRAW"
"2","Sven Michel","Schwaller","3.8750","3.0598","8",257,"DRAW"
"3","Grant Hardie","Mouat","4.0000","3.0889","6",257,"DRAW"
"4","Benoit Schwarz","Schwaller","3.8333","3.071","6",257,"DRAW"
"5","Pablo Lachat","Schwaller","3.4000","3.2511","5",257,"DRAW"
"6","Bruce Mouat","Mouat","2.6000","3.0655","5",257,"DRAW"
"7","Bobby Lammie","Mouat","3.5000","3.0417","4",257,"DRAW"
"8","Yannick Schwaller","Schwaller","4.0000","3.0218","3",257,"DRAW"
"9","Bruce Mouat","Mouat","4.0000","3.1184","5",257,"TAKE-OUT"
"10","Sven Michel","Schwaller","4.0000","3.1605","3",257,"TAKE-OUT"
"11","Grant Hardie","Mouat","4.0000","3.1844","3",257,"TAKE-OUT"
"12","Yannick Schwaller","Schwaller","1.0000","3.1979","2",257,"TAKE-OUT"
"13","Hammy McMillan","Mouat","4.0000","3.1887","1",257,"TAKE-OUT"
"14","Bobby Lammie","Mouat","4.0000","3.3667","1",257,"TAKE-OUT"
"15","Pablo Lachat","Schwaller","4.0000","3.6708","10",257,"FRONT"
"16","Sven Michel","Schwaller","4.0000","3.6019","2",257,"FRONT"
"17","Hammy McMillan","Mouat","4.0000","3.6838","1",257,"FRONT"
"18","Yannick Schwaller","Schwaller","0.0000","3.7154","1",257,"FRONT"
"19","Benoit Schwarz","Schwaller","3.5714","2.9706","7",257,"HIT-ROLL"
"20","Yannick Schwaller","Schwaller","3.0000","3.087","6",257,"HIT-ROLL"
"21","Bobby Lammie","Mouat","3.7500","3.0488","4",257,"HIT-ROLL"
"22","Grant Hardie","Mouat","3.2500","3.1093","4",257,"HIT-ROLL"
"23","Bruce Mouat","Mouat","4.0000","2.9068","3",257,"HIT-ROLL"
"24","Hammy McMillan","Mouat","4.0000","3.4648","1",257,"HIT-ROLL"
"25","Pablo Lachat","Schwaller","2.0000","3.2647","1",257,"HIT-ROLL"
"26","Sven Michel","Schwaller","4.0000","2.9646","1",257,"HIT-ROLL"
"27","Bobby Lammie","Mouat","4.0000","3.4382","3",257,"GUARD"
"28","Pablo Lachat","Schwaller","3.5000","3.1099","2",257,"GUARD"
"29","Yannick Schwaller","Schwaller","4.0000","3.4348","2",257,"GUARD"
"30","Hammy McMillan","Mouat","4.0000","3.0675","1",257,"GUARD"
"31","Grant Hardie","Mouat","1.0000","3.4327","1",257,"GUARD"
"32","Sven Michel","Schwaller","4.0000","3.4334","1",257,"GUARD"
"33","Benoit Schwarz","Schwaller","4.0000","3.4926","1",257,"GUARD"
"34","Bobby Lammie","Mouat","4.0000","3.7144","3",257,"CLEARING"
"35","Bruce Mouat","Mouat","4.0000","3.7173","3",257,"CLEARING"
"36","Grant Hardie","Mouat","4.0000","3.7739","1",257,"CLEARING"
"37","Benoit Schwarz","Schwaller","3.3333","2.8271","3",257,"DOUBLE"
"38","Sven Michel","Schwaller","4.0000","2.9327","3",257,"DOUBLE"
"39","Bobby Lammie","Mouat","4.0000","2.9694","2",257,"DOUBLE"
"40","Yannick Schwaller","Schwaller","4.0000","3.0035","1",257,"DOUBLE"
"41","Grant Hardie","Mouat","4.0000","2.8558","1",257,"DOUBLE"
"42","Grant Hardie","Mouat","4.0000","2.8262","1",257,"WICK"
"43","Yannick Schwaller","Schwaller","4.0000","2.8729","1",257,"WICK"
"44","Hammy McMillan","Mouat","0.0000","2.8792","1",257,"WICK"
"45","Mattia Giovanella","Retornaz","3.6818","3.5324","44",249,"DRAW"
"46","Daniel Marsh","McEwen","3.6364","3.5458","44",249,"DRAW"
"47","Geoff Walker","Gushue","3.3590","3.5506","39",249,"DRAW"
"48","Ben Hebert","Bottcher","3.5897","3.5538","39",249,"DRAW"
"49","Karrick Martin","Koe","3.6757","3.5526","37",249,"DRAW"
"50","Joel Retornaz","Retornaz","3.1667","3.1493","36",249,"DRAW"
"51","Ryan Harnden","Dunstone","3.6111","3.5536","36",249,"DRAW"
"52","Christoffer Sundgren","Edin","3.6857","3.5021","35",249,"DRAW"
"53","Pablo Lachat","Y. Schwaller","3.3235","3.5343","34",249,"DRAW"
"54","Brad Gushue","Gushue","3.4706","3.2587","34",249,"DRAW"
"55","craig waddell","Whyte","3.8824","3.5803","34",249,"DRAW"
"56","Connor Njegovan","Jacobs","3.5172","3.5156","29",249,"DRAW"
"57","Mike McEwen","McEwen","3.4643","3.2816","28",249,"DRAW"
"58","Blair Haswell","Craik","3.6786","3.5156","28",249,"DRAW"
"59","Hammy McMillan","Mouat","3.7143","3.5615","28",249,"DRAW"
"60","Benoit Schwarz - Van Berkel","Y. Schwaller","3.4074","3.1452","27",249,"DRAW"
"61","Sebastiano Arman","Retornaz","2.6296","3.2395","27",249,"DRAW"
"62","Colton Lott","Dunstone","2.8400","3.2142","25",249,"DRAW"
"63","Matt Dunstone","Dunstone","2.7600","3.1784","25",249,"DRAW"
"64","Kevin Koe","Koe","3.2400","3.0478","25",249,"DRAW"
"65","Rasmus Wrana","Edin","3.4800","3.226","25",249,"DRAW"
"66","Jacques Gauthier","Koe","3.6087","3.2406","23",249,"DRAW"
"67","Amos Mosaner","Retornaz","2.7273","3.2729","22",249,"DRAW"
"68","Oskar Eriksson","Edin","3.5000","3.2079","22",249,"DRAW"
"69","Bruce Mouat","Mouat","2.9524","3.1986","21",249,"DRAW"
"70","Ross Whyte","Whyte","3.5714","3.212","21",249,"DRAW"
"71","Angus Bryce","Craik","3.0500","3.2455","20",249,"DRAW"
"72","Brendan Bottcher","Bottcher","3.1500","3.1523","20",249,"DRAW"
"73","E.J. Harnden","Gushue","3.4211","3.2569","19",249,"DRAW"
"74","Niklas Edin","Edin","3.4211","3.2363","19",249,"DRAW"
"75","Scott Howard","Jacobs","3.0526","3.2447","19",249,"DRAW"
"76","Reid Carruthers","Jacobs","2.7059","3.2419","17",249,"DRAW"
"77","Brett Gallant","Bottcher","2.4706","3.2869","17",249,"DRAW"
"78","Brad Jacobs","Jacobs","2.8824","3.2143","17",249,"DRAW"
"79","Mark Nichols","Gushue","2.9412","3.2374","17",249,"DRAW"
"80","Kevin Marsh","McEwen","3.3125","3.2386","16",249,"DRAW"
"81","Colton Flasch","McEwen","3.2500","3.2552","16",249,"DRAW"
"82","sven michel","Y. Schwaller","3.6875","3.2406","16",249,"DRAW"
"83","Tyler Tardi","Koe","2.5333","3.2141","15",249,"DRAW"
"84","James Craik","Craik","3.1333","3.1817","15",249,"DRAW"
"85","Robin Brydone","Whyte","3.3571","3.25","14",249,"DRAW"
"86","B.J. Neufeld","Dunstone","3.3077","3.2597","13",249,"DRAW"
"87","Yannick Schwaller","Y. Schwaller","3.1538","3.1925","13",249,"DRAW"
"88","Duncan McFadzean","Whyte","3.4167","3.2786","12",249,"DRAW"
"89","Marc Kennedy","Bottcher","3.5833","3.2224","12",249,"DRAW"
"90","Bobby Lammie","Mouat","3.5455","3.2769","11",249,"DRAW"
"91","Grant Hardie","Mouat","3.4545","3.2859","11",249,"DRAW"
"92","Mark Watt","Craik","3.0000","3.1825","10",249,"DRAW"
"93","Mike McEwen","McEwen","3.7241","3.3897","29",249,"TAKE-OUT"
"94","Joel Retornaz","Retornaz","3.2857","3.3321","28",249,"TAKE-OUT"
"95","Brad Gushue","Gushue","3.6296","3.3565","27",249,"TAKE-OUT"
"96","Robin Brydone","Whyte","3.6667","3.3846","27",249,"TAKE-OUT"
"97","Mark Nichols","Gushue","3.6154","3.3457","26",249,"TAKE-OUT"
"98","Ross Whyte","Whyte","3.6154","3.3902","26",249,"TAKE-OUT"
"99","Colton Flasch","McEwen","2.9545","3.4317","22",249,"TAKE-OUT"
"100","Brad Jacobs","Jacobs","3.5238","3.3566","21",249,"TAKE-OUT"
"101","Oskar Eriksson","Edin","3.1429","3.3494","21",249,"TAKE-OUT"
"102","James Craik","Craik","3.1429","3.3018","21",249,"TAKE-OUT"
"103","Marc Kennedy","Bottcher","3.7619","3.3941","21",249,"TAKE-OUT"
"104","Matt Dunstone","Dunstone","3.5500","3.3273","20",249,"TAKE-OUT"
"105","Amos Mosaner","Retornaz","3.4737","3.4268","19",249,"TAKE-OUT"
"106","B.J. Neufeld","Dunstone","3.5789","3.4199","19",249,"TAKE-OUT"
"107","Benoit Schwarz - Van Berkel","Y. Schwaller","3.1667","3.2962","18",249,"TAKE-OUT"
"108","Mark Watt","Craik","3.4444","3.4055","18",249,"TAKE-OUT"
"109","Brendan Bottcher","Bottcher","3.3529","3.2606","17",249,"TAKE-OUT"
"110","Bruce Mouat","Mouat","2.8824","3.2786","17",249,"TAKE-OUT"
"111","Niklas Edin","Edin","3.6471","3.3704","17",249,"TAKE-OUT"
"112","Scott Howard","Jacobs","3.3750","3.384","16",249,"TAKE-OUT"
"113","Reid Carruthers","Jacobs","3.3125","3.3537","16",249,"TAKE-OUT"
"114","E.J. Harnden","Gushue","3.1250","3.3305","16",249,"TAKE-OUT"
"115","Bobby Lammie","Mouat","3.7333","3.364","15",249,"TAKE-OUT"
"116","Tyler Tardi","Koe","3.6429","3.4199","14",249,"TAKE-OUT"
"117","Grant Hardie","Mouat","3.6923","3.3609","13",249,"TAKE-OUT"
"118","Sebastiano Arman","Retornaz","3.3077","3.3049","13",249,"TAKE-OUT"
"119","sven michel","Y. Schwaller","3.9167","3.3347","12",249,"TAKE-OUT"
"120","Colton Lott","Dunstone","3.4545","3.3644","11",249,"TAKE-OUT"
"121","Kevin Koe","Koe","3.4545","3.3292","11",249,"TAKE-OUT"
"122","Jacques Gauthier","Koe","3.8000","3.3185","10",249,"TAKE-OUT"
"123","Duncan McFadzean","Whyte","3.5000","3.347","10",249,"TAKE-OUT"
"124","Yannick Schwaller","Y. Schwaller","3.7778","3.3878","9",249,"TAKE-OUT"
"125","Brett Gallant","Bottcher","3.4444","3.3483","9",249,"TAKE-OUT"
"126","Rasmus Wrana","Edin","3.6250","3.3401","8",249,"TAKE-OUT"
"127","Angus Bryce","Craik","3.8750","3.3277","8",249,"TAKE-OUT"
"128","Kevin Marsh","McEwen","3.3333","3.3442","6",249,"TAKE-OUT"
"129","craig waddell","Whyte","3.8000","3.3109","5",249,"TAKE-OUT"
"130","Christoffer Sundgren","Edin","4.0000","3.3453","3",249,"TAKE-OUT"
"131","Hammy McMillan","Mouat","3.6667","3.2898","3",249,"TAKE-OUT"
"132","Connor Njegovan","Jacobs","3.6667","3.4237","3",249,"TAKE-OUT"
"133","Geoff Walker","Gushue","4.0000","3.3494","3",249,"TAKE-OUT"
"134","Daniel Marsh","McEwen","4.0000","3.3199","2",249,"TAKE-OUT"
"135","Blair Haswell","Craik","2.0000","3.3203","2",249,"TAKE-OUT"
"136","Ryan Harnden","Dunstone","4.0000","3.2527","1",249,"TAKE-OUT"
"137","Karrick Martin","Koe","4.0000","3.3778","1",249,"TAKE-OUT"
"138","Pablo Lachat","Y. Schwaller","4.0000","3.455","1",249,"TAKE-OUT"
"139","Mattia Giovanella","Retornaz","4.0000","3.398","1",249,"TAKE-OUT"
"140","Ben Hebert","Bottcher","4.0000","3.398","1",249,"TAKE-OUT"
"141","Mattia Giovanella","Retornaz","3.8136","3.7531","59",249,"FRONT"
"142","Geoff Walker","Gushue","3.8431","3.7608","51",249,"FRONT"
"143","Christoffer Sundgren","Edin","3.8222","3.7643","45",249,"FRONT"
"144","Daniel Marsh","McEwen","3.8108","3.7614","37",249,"FRONT"
"145","craig waddell","Whyte","3.9444","3.7537","36",249,"FRONT"
"146","Connor Njegovan","Jacobs","3.9118","3.7605","34",249,"FRONT"
"147","Pablo Lachat","Y. Schwaller","3.7059","3.7547","34",249,"FRONT"
"148","Hammy McMillan","Mouat","3.9375","3.7578","32",249,"FRONT"
"149","Blair Haswell","Craik","3.7188","3.7702","32",249,"FRONT"
"150","Karrick Martin","Koe","3.9333","3.769","30",249,"FRONT"
"151","Ryan Harnden","Dunstone","3.8929","3.7549","28",249,"FRONT"
"152","Ben Hebert","Bottcher","3.8000","3.7456","20",249,"FRONT"
"153","Duncan McFadzean","Whyte","3.6000","3.5991","5",249,"FRONT"
"154","Colton Lott","Dunstone","2.7500","3.624","4",249,"FRONT"
"155","Brett Gallant","Bottcher","4.0000","3.6138","3",249,"FRONT"
"156","Reid Carruthers","Jacobs","3.6667","3.6785","3",249,"FRONT"
"157","Amos Mosaner","Retornaz","3.0000","3.6605","2",249,"FRONT"
"158","Tyler Tardi","Koe","3.0000","3.6255","2",249,"FRONT"
"159","Scott Howard","Jacobs","4.0000","3.7259","2",249,"FRONT"
"160","Robin Brydone","Whyte","3.5000","3.7815","2",249,"FRONT"
"161","Sebastiano Arman","Retornaz","4.0000","3.7439","1",249,"FRONT"
"162","Marc Kennedy","Bottcher","4.0000","3.5541","1",249,"FRONT"
"163","Brendan Bottcher","Bottcher","3.0000","3.4785","1",249,"FRONT"
"164","Benoit Schwarz - Van Berkel","Y. Schwaller","3.0000","3.4766","1",249,"FRONT"
"165","Joel Retornaz","Retornaz","4.0000","3.3694","1",249,"FRONT"
"166","E.J. Harnden","Gushue","4.0000","3.6282","1",249,"FRONT"
"167","Angus Bryce","Craik","4.0000","3.6087","1",249,"FRONT"
"168","Mark Watt","Craik","4.0000","3.5764","1",249,"FRONT"
"169","Joel Retornaz","Retornaz","3.3103","3.1011","29",249,"HIT-ROLL"
"170","Amos Mosaner","Retornaz","3.4643","3.2161","28",249,"HIT-ROLL"
"171","Grant Hardie","Mouat","3.4615","3.2193","26",249,"HIT-ROLL"
"172","Mark Nichols","Gushue","3.2174","3.2224","23",249,"HIT-ROLL"
"173","Niklas Edin","Edin","3.0000","3.1274","22",249,"HIT-ROLL"
"174","Brad Jacobs","Jacobs","2.8095","3.1495","21",249,"HIT-ROLL"
"175","E.J. Harnden","Gushue","3.0500","3.194","20",249,"HIT-ROLL"
"176","Mark Watt","Craik","2.7778","3.2033","18",249,"HIT-ROLL"
"177","Robin Brydone","Whyte","3.3333","3.2379","18",249,"HIT-ROLL"
"178","Oskar Eriksson","Edin","3.1176","3.2108","17",249,"HIT-ROLL"
"179","Tyler Tardi","Koe","3.4118","3.2101","17",249,"HIT-ROLL"
"180","Bruce Mouat","Mouat","3.0000","3.1483","17",249,"HIT-ROLL"
"181","James Craik","Craik","2.6250","3.0513","16",249,"HIT-ROLL"
"182","Ross Whyte","Whyte","3.3750","3.13","16",249,"HIT-ROLL"
"183","Yannick Schwaller","Y. Schwaller","3.3125","3.2387","16",249,"HIT-ROLL"
"184","Bobby Lammie","Mouat","3.0625","3.1956","16",249,"HIT-ROLL"
"185","Colton Flasch","McEwen","3.5000","3.2197","16",249,"HIT-ROLL"
"186","Brad Gushue","Gushue","3.5000","3.1333","16",249,"HIT-ROLL"
"187","Sebastiano Arman","Retornaz","2.8667","3.2035","15",249,"HIT-ROLL"
"188","Mike McEwen","McEwen","2.9333","3.1","15",249,"HIT-ROLL"
"189","Brendan Bottcher","Bottcher","3.4286","3.0996","14",249,"HIT-ROLL"
"190","Reid Carruthers","Jacobs","3.4615","3.2368","13",249,"HIT-ROLL"
"191","Kevin Koe","Koe","3.2500","3.0725","12",249,"HIT-ROLL"
"192","Matt Dunstone","Dunstone","2.5833","3.1318","12",249,"HIT-ROLL"
"193","Rasmus Wrana","Edin","3.0909","3.1944","11",249,"HIT-ROLL"
"194","Marc Kennedy","Bottcher","3.3636","3.2264","11",249,"HIT-ROLL"
"195","Benoit Schwarz - Van Berkel","Y. Schwaller","2.8182","3.2192","11",249,"HIT-ROLL"
"196","Jacques Gauthier","Koe","3.6000","3.1891","10",249,"HIT-ROLL"
"197","Duncan McFadzean","Whyte","3.2222","3.2043","9",249,"HIT-ROLL"
"198","Scott Howard","Jacobs","2.7778","3.1974","9",249,"HIT-ROLL"
"199","B.J. Neufeld","Dunstone","3.5000","3.2034","8",249,"HIT-ROLL"
"200","Brett Gallant","Bottcher","3.6250","3.1916","8",249,"HIT-ROLL"
"201","sven michel","Y. Schwaller","3.7500","3.2051","8",249,"HIT-ROLL"
"202","Kevin Marsh","McEwen","3.6000","3.2084","5",249,"HIT-ROLL"
"203","Angus Bryce","Craik","3.0000","3.208","4",249,"HIT-ROLL"
"204","Colton Lott","Dunstone","3.0000","3.1756","4",249,"HIT-ROLL"
"205","Blair Haswell","Craik","4.0000","3.2398","3",249,"HIT-ROLL"
"206","Geoff Walker","Gushue","3.3333","3.2528","3",249,"HIT-ROLL"
"207","Pablo Lachat","Y. Schwaller","3.5000","3.2478","2",249,"HIT-ROLL"
"208","Ben Hebert","Bottcher","2.0000","3.2323","2",249,"HIT-ROLL"
"209","Ryan Harnden","Dunstone","2.0000","3.4387","1",249,"HIT-ROLL"
"210","Connor Njegovan","Jacobs","4.0000","3.2728","1",249,"HIT-ROLL"
"211","Mattia Giovanella","Retornaz","3.0000","3.4195","1",249,"HIT-ROLL"
"212","Daniel Marsh","McEwen","4.0000","3.1178","1",249,"HIT-ROLL"
"213","Hammy McMillan","Mouat","3.0000","3.3092","1",249,"HIT-ROLL"
"214","Sebastiano Arman","Retornaz","3.8571","3.651","14",249,"GUARD"
"215","Kevin Marsh","McEwen","3.9286","3.6117","14",249,"GUARD"
"216","Yannick Schwaller","Y. Schwaller","3.5714","3.655","14",249,"GUARD"
"217","Duncan McFadzean","Whyte","3.5385","3.6472","13",249,"GUARD"
"218","Mark Nichols","Gushue","3.9167","3.6726","12",249,"GUARD"
"219","Amos Mosaner","Retornaz","3.8333","3.6607","12",249,"GUARD"
"220","Colton Flasch","McEwen","3.7000","3.6696","10",249,"GUARD"
"221","sven michel","Y. Schwaller","3.7000","3.644","10",249,"GUARD"
"222","Brad Gushue","Gushue","3.6667","3.6077","9",249,"GUARD"
"223","E.J. Harnden","Gushue","3.5556","3.664","9",249,"GUARD"
"224","Jacques Gauthier","Koe","3.8750","3.633","8",249,"GUARD"
"225","Oskar Eriksson","Edin","3.7500","3.6509","8",249,"GUARD"
"226","Niklas Edin","Edin","3.7500","3.548","8",249,"GUARD"
"227","Benoit Schwarz - Van Berkel","Y. Schwaller","3.8571","3.5522","7",249,"GUARD"
"228","Robin Brydone","Whyte","3.8571","3.6786","7",249,"GUARD"
"229","Scott Howard","Jacobs","3.8571","3.626","7",249,"GUARD"
"230","Mattia Giovanella","Retornaz","4.0000","3.5932","6",249,"GUARD"
"231","Reid Carruthers","Jacobs","4.0000","3.6858","6",249,"GUARD"
"232","B.J. Neufeld","Dunstone","3.0000","3.7082","6",249,"GUARD"
"233","Grant Hardie","Mouat","3.8000","3.6664","5",249,"GUARD"
"234","Pablo Lachat","Y. Schwaller","4.0000","3.6371","5",249,"GUARD"
"235","Mark Watt","Craik","3.8000","3.6094","5",249,"GUARD"
"236","Angus Bryce","Craik","4.0000","3.6421","4",249,"GUARD"
"237","Tyler Tardi","Koe","3.7500","3.6703","4",249,"GUARD"
"238","Bobby Lammie","Mouat","3.7500","3.6939","4",249,"GUARD"
"239","Kevin Koe","Koe","3.7500","3.5948","4",249,"GUARD"
"240","Ross Whyte","Whyte","4.0000","3.5553","3",249,"GUARD"
"241","Christoffer Sundgren","Edin","3.6667","3.6053","3",249,"GUARD"
"242","Rasmus Wrana","Edin","4.0000","3.6361","3",249,"GUARD"
"243","Hammy McMillan","Mouat","3.6667","3.617","3",249,"GUARD"
"244","James Craik","Craik","4.0000","3.5017","3",249,"GUARD"
"245","Bruce Mouat","Mouat","4.0000","3.5211","3",249,"GUARD"
"246","Colton Lott","Dunstone","4.0000","3.6521","3",249,"GUARD"
"247","Connor Njegovan","Jacobs","3.6667","3.5857","3",249,"GUARD"
"248","Mike McEwen","McEwen","3.6667","3.6487","3",249,"GUARD"
"249","Geoff Walker","Gushue","4.0000","3.617","3",249,"GUARD"
"250","craig waddell","Whyte","4.0000","3.6294","2",249,"GUARD"
"251","Daniel Marsh","McEwen","4.0000","3.615","2",249,"GUARD"
"252","Joel Retornaz","Retornaz","3.0000","3.584","2",249,"GUARD"
"253","Brett Gallant","Bottcher","3.5000","3.6608","2",249,"GUARD"
"254","Blair Haswell","Craik","4.0000","3.6326","2",249,"GUARD"
"255","Brad Jacobs","Jacobs","3.0000","3.4239","1",249,"GUARD"
"256","Ben Hebert","Bottcher","4.0000","3.5857","1",249,"GUARD"
"257","Brendan Bottcher","Bottcher","3.0000","3.4672","1",249,"GUARD"
"258","Marc Kennedy","Bottcher","4.0000","3.6029","1",249,"GUARD"
"259","Karrick Martin","Koe","4.0000","3.6148","1",249,"GUARD"
"260","Ryan Harnden","Dunstone","4.0000","3.638","1",249,"GUARD"
"261","Matt Dunstone","Dunstone","4.0000","3.5129","1",249,"GUARD"
"262","Kevin Marsh","McEwen","3.6667","3.673","21",249,"CLEARING"
"263","Duncan McFadzean","Whyte","3.8333","3.6737","18",249,"CLEARING"
"264","E.J. Harnden","Gushue","3.5556","3.7082","18",249,"CLEARING"
"265","Jacques Gauthier","Koe","3.7143","3.6712","14",249,"CLEARING"
"266","Colton Lott","Dunstone","3.7692","3.6605","13",249,"CLEARING"
"267","Angus Bryce","Craik","3.9231","3.6436","13",249,"CLEARING"
"268","Rasmus Wrana","Edin","3.7273","3.6575","11",249,"CLEARING"
"269","sven michel","Y. Schwaller","3.6364","3.6536","11",249,"CLEARING"
"270","Brett Gallant","Bottcher","3.5455","3.6835","11",249,"CLEARING"
"271","Marc Kennedy","Bottcher","3.7000","3.7461","10",249,"CLEARING"
"272","Tyler Tardi","Koe","3.6667","3.6351","9",249,"CLEARING"
"273","Bobby Lammie","Mouat","3.4444","3.6342","9",249,"CLEARING"
"274","Sebastiano Arman","Retornaz","3.7778","3.6626","9",249,"CLEARING"
"275","Colton Flasch","McEwen","3.5000","3.7452","8",249,"CLEARING"
"276","Mark Watt","Craik","3.8750","3.7635","8",249,"CLEARING"
"277","Amos Mosaner","Retornaz","4.0000","3.7075","7",249,"CLEARING"
"278","Robin Brydone","Whyte","3.8571","3.7342","7",249,"CLEARING"
"279","Mark Nichols","Gushue","3.8333","3.7777","6",249,"CLEARING"
"280","B.J. Neufeld","Dunstone","4.0000","3.6922","6",249,"CLEARING"
"281","Yannick Schwaller","Y. Schwaller","3.6000","3.7236","5",249,"CLEARING"
"282","Grant Hardie","Mouat","4.0000","3.7642","5",249,"CLEARING"
"283","Bruce Mouat","Mouat","4.0000","3.8559","4",249,"CLEARING"
"284","Brad Jacobs","Jacobs","3.7500","3.8822","4",249,"CLEARING"
"285","Reid Carruthers","Jacobs","3.5000","3.7419","4",249,"CLEARING"
"286","Ross Whyte","Whyte","3.6667","3.9105","3",249,"CLEARING"
"287","Niklas Edin","Edin","4.0000","3.9579","3",249,"CLEARING"
"288","Oskar Eriksson","Edin","4.0000","3.7466","3",249,"CLEARING"
"289","Brendan Bottcher","Bottcher","4.0000","3.9107","3",249,"CLEARING"
"290","Mike McEwen","McEwen","4.0000","3.9","3",249,"CLEARING"
"291","Kevin Koe","Koe","4.0000","3.8588","3",249,"CLEARING"
"292","Scott Howard","Jacobs","2.5000","3.6839","2",249,"CLEARING"
"293","James Craik","Craik","4.0000","3.9158","2",249,"CLEARING"
"294","Joel Retornaz","Retornaz","4.0000","3.9652","1",249,"CLEARING"
"295","Brad Gushue","Gushue","4.0000","3.7621","1",249,"CLEARING"
"296","Benoit Schwarz - Van Berkel","Y. Schwaller","4.0000","3.8985","1",249,"CLEARING"
"297","Matt Dunstone","Dunstone","4.0000","3.9297","1",249,"CLEARING"
"298","Sebastiano Arman","Retornaz","3.4762","3.1391","21",249,"DOUBLE"
"299","Kevin Marsh","McEwen","3.2778","3.1468","18",249,"DOUBLE"
"300","Colton Flasch","McEwen","3.2667","3.0807","15",249,"DOUBLE"
"301","Mark Nichols","Gushue","2.8667","3.0608","15",249,"DOUBLE"
"302","Bobby Lammie","Mouat","3.0714","3.1054","14",249,"DOUBLE"
"303","Kevin Koe","Koe","2.0714","2.6882","14",249,"DOUBLE"
"304","Amos Mosaner","Retornaz","3.2143","3.0612","14",249,"DOUBLE"
"305","Yannick Schwaller","Y. Schwaller","2.9231","3.0845","13",249,"DOUBLE"
"306","E.J. Harnden","Gushue","3.2727","3.1425","11",249,"DOUBLE"
"307","Rasmus Wrana","Edin","3.0909","3.1342","11",249,"DOUBLE"
"308","Angus Bryce","Craik","3.7273","3.1547","11",249,"DOUBLE"
"309","B.J. Neufeld","Dunstone","3.3636","3.0859","11",249,"DOUBLE"
"310","Joel Retornaz","Retornaz","2.0909","2.7473","11",249,"DOUBLE"
"311","sven michel","Y. Schwaller","3.0000","3.128","11",249,"DOUBLE"
"312","Ross Whyte","Whyte","3.1000","2.5881","10",249,"DOUBLE"
"313","Mark Watt","Craik","3.2000","3.0644","10",249,"DOUBLE"
"314","Brett Gallant","Bottcher","3.3333","3.1416","9",249,"DOUBLE"
"315","Tyler Tardi","Koe","2.2500","3.0854","8",249,"DOUBLE"
"316","Niklas Edin","Edin","1.5000","2.5445","8",249,"DOUBLE"
"317","Brad Gushue","Gushue","2.2857","2.6171","7",249,"DOUBLE"
"318","Matt Dunstone","Dunstone","3.0000","2.7605","7",249,"DOUBLE"
"319","Grant Hardie","Mouat","3.2857","3.0634","7",249,"DOUBLE"
"320","Colton Lott","Dunstone","4.0000","3.1602","7",249,"DOUBLE"
"321","Reid Carruthers","Jacobs","3.2857","3.0901","7",249,"DOUBLE"
"322","Oskar Eriksson","Edin","3.0000","3.0822","7",249,"DOUBLE"
"323","Marc Kennedy","Bottcher","2.0000","3.0408","6",249,"DOUBLE"
"324","Scott Howard","Jacobs","2.8333","3.1618","6",249,"DOUBLE"
"325","Brad Jacobs","Jacobs","2.8333","2.4124","6",249,"DOUBLE"
"326","Brendan Bottcher","Bottcher","3.1667","2.6491","6",249,"DOUBLE"
"327","Mike McEwen","McEwen","2.6000","2.7347","5",249,"DOUBLE"
"328","Robin Brydone","Whyte","3.0000","3.0509","4",249,"DOUBLE"
"329","Duncan McFadzean","Whyte","4.0000","3.1489","4",249,"DOUBLE"
"330","James Craik","Craik","2.6667","2.89","3",249,"DOUBLE"
"331","Jacques Gauthier","Koe","2.3333","3.1358","3",249,"DOUBLE"
"332","Bruce Mouat","Mouat","1.3333","2.829","3",249,"DOUBLE"
"333","Benoit Schwarz - Van Berkel","Y. Schwaller","3.3333","2.6568","3",249,"DOUBLE"
"334","Geoff Walker","Gushue","2.0000","3.3058","2",249,"DOUBLE"
"335","Mattia Giovanella","Retornaz","3.5000","3.2968","2",249,"DOUBLE"
"336","Blair Haswell","Craik","4.0000","3.3568","1",249,"DOUBLE"
"337","Karrick Martin","Koe","4.0000","3.3358","1",249,"DOUBLE"
"338","Daniel Marsh","McEwen","2.0000","3.3358","1",249,"DOUBLE"
"339","Grant Hardie","Mouat","3.4167","3.113","12",249,"RAISE"
"340","Bruce Mouat","Mouat","3.4167","2.7865","12",249,"RAISE"
"341","Niklas Edin","Edin","2.8000","2.9428","10",249,"RAISE"
"342","Yannick Schwaller","Y. Schwaller","3.4000","3.0994","10",249,"RAISE"
"343","Mark Nichols","Gushue","3.0000","3.1242","10",249,"RAISE"
"344","Benoit Schwarz - Van Berkel","Y. Schwaller","3.0000","2.8755","9",249,"RAISE"
"345","Oskar Eriksson","Edin","2.7778","3.1704","9",249,"RAISE"
"346","B.J. Neufeld","Dunstone","4.0000","3.0941","9",249,"RAISE"
"347","Reid Carruthers","Jacobs","3.0000","3.1192","8",249,"RAISE"
"348","E.J. Harnden","Gushue","2.0000","3.1595","8",249,"RAISE"
"349","Brad Gushue","Gushue","3.0000","3.0687","8",249,"RAISE"
"350","Scott Howard","Jacobs","2.5714","3.1671","7",249,"RAISE"
"351","sven michel","Y. Schwaller","4.0000","3.1536","7",249,"RAISE"
